Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Company
10/27/21,669,671.4099731,661.8499756,662.9199829,2276900,0,0,NFLX,Netflix
10/28/21,670.9500122,676.7999878,668.0300293,674.0499878,2859400,0,0,NFLX,Netflix
10/29/21,673.0599976,690.9699707,671.2399902,690.3099976,3817500,0,0,NFLX,Netflix
10/30/21,673.0599976,690.9699707,671.2399902,690.3099976,3817500,0,0,NFLX,Netflix
10/31/21,673.0599976,690.9699707,671.2399902,690.3099976,3817500,0,0,NFLX,Netflix
11/1/21,689.0599976,689.9699707,676.539978,681.1699829,3108500,0,0,NFLX,Netflix
10/18/21,851.789978,875.2600098,851.4699707,870.1099854,24207200,0,0,TSLA,Tesla
10/19/21,877.5300293,877.9500122,862.5100098,864.2700195,17381100,0,0,TSLA,Tesla
10/20/21,865.3499756,869.4899902,857.3800049,865.7999878,14032100,0,0,TSLA,Tesla
10/21/21,856,900,855.5,894,31481500,0,0,TSLA,Tesla
10/22/21,895.5,910,890.960022,909.6799927,22880800,0,0,TSLA,Tesla
10/23/21,895.5,910,890.960022,909.6799927,22880800,0,0,TSLA,Tesla
10/24/21,895.5,910,890.960022,909.6799927,22880800,0,0,TSLA,Tesla
10/25/21,950.5300293,1045.02002,944.2000122,1024.859985,62852100,0,0,TSLA,Tesla
10/26/21,1024.689941,1094.939941,1001.440002,1018.429993,62415000,0,0,TSLA,Tesla
10/27/21,1039.660034,1070.880005,1030.780029,1037.859985,38526500,0,0,TSLA,Tesla
10/28/21,1068.310059,1081,1054.199951,1077.040039,27213200,0,0,TSLA,Tesla
10/29/21,1081.859985,1115.209961,1073.209961,1114,29918400,0,0,TSLA,Tesla
10/30/21,1081.859985,1115.209961,1073.209961,1114,29918400,0,0,TSLA,Tesla
10/31/21,1081.859985,1115.209961,1073.209961,1114,29918400,0,0,TSLA,Tesla
11/1/21,1145,1209.75,1118.660034,1208.589966,55814100,0,0,TSLA,Tesla
10/18/21,328.9500122,335.8900146,327.5,335.3399963,21585000,0,0,FB,Facebook
10/19/21,339.6499939,342.4599915,337.2799988,339.9899902,18786300,0,0,FB,Facebook
10/20/21,343.4500122,343.980011,339.4500122,340.7799988,13639500,0,0,FB,Facebook
10/21/21,340.2799988,342.3099976,337.7999878,341.8800049,16354400,0,0,FB,Facebook
10/22/21,326.3500061,329.6300049,321.1099854,324.6099854,35224500,0,0,FB,Facebook
10/23/21,326.3500061,329.6300049,321.1099854,324.6099854,35224500,0,0,FB,Facebook
10/24/21,326.3500061,329.6300049,321.1099854,324.6099854,35224500,0,0,FB,Facebook
10/25/21,320.2999878,329.5599976,319.7200012,328.6900024,38409000,0,0,FB,Facebook
10/26/21,328.2600098,330.2099915,309.6000061,315.8099976,65654000,0,0,FB,Facebook
10/27/21,314.1900024,319.25,312.0599976,312.2200012,29971800,0,0,FB,Facebook
10/28/21,312.9899902,325.519989,308.1099854,316.9200134,50806800,0,0,FB,Facebook
10/29/21,320.1900024,326,319.6000061,323.5700073,37059400,0,0,FB,Facebook
10/30/21,320.1900024,326,319.6000061,323.5700073,37059400,0,0,FB,Facebook
10/31/21,320.1900024,326,319.6000061,323.5700073,37059400,0,0,FB,Facebook
11/1/21,326.0400085,333.4500122,326,329.980011,31489400,0,0,FB,Facebook
10/18/21,27.81500053,30.97999954,27.71999931,29.79999924,22704100,0,0,RIOT,Riot Blockchain
10/19/21,30.59700012,31.79999924,29.05999947,30.82999992,26639500,0,0,RIOT,Riot Blockchain
10/20/21,30.95000076,32.83000183,30.39999962,31.44000053,21216200,0,0,RIOT,Riot Blockchain
10/21/21,31.29000092,32.04999924,29.10000038,29.44000053,15225600,0,0,RIOT,Riot Blockchain
10/22/21,29.03000069,29.43000031,27.56999969,28.28000069,10903400,0,0,RIOT,Riot Blockchain
10/23/21,29.03000069,29.43000031,27.56999969,28.28000069,10903400,0,0,RIOT,Riot Blockchain
10/24/21,29.03000069,29.43000031,27.56999969,28.28000069,10903400,0,0,RIOT,Riot Blockchain
10/25/21,29.12000084,30.42399979,28.86000061,29.59000015,11337100,0,0,RIOT,Riot Blockchain
10/26/21,29.45000076,29.52000046,28.18000031,28.44000053,8672600,0,0,RIOT,Riot Blockchain
10/27/21,27.45999908,27.79000092,26.45000076,26.59000015,9726400,0,0,RIOT,Riot Blockchain
10/28/21,27.52000046,28.01000023,26.31999969,27.54000092,8482600,0,0,RIOT,Riot Blockchain
10/29/21,27.42000008,28.20400047,26.80999947,27.21999931,9420700,0,0,RIOT,Riot Blockchain
10/30/21,27.42000008,28.20400047,26.80999947,27.21999931,9420700,0,0,RIOT,Riot Blockchain
10/31/21,27.42000008,28.20400047,26.80999947,27.21999931,9420700,0,0,RIOT,Riot Blockchain
11/1/21,27.31500053,28.76000023,27.01000023,28.09000015,10516000,0,0,RIOT,Riot Blockchain
10/18/21,3388.360107,3449.169922,3385.100098,3446.73999,3174100,0,0,AMZN,Amazon
10/19/21,3434.290039,3454.689941,3422,3444.149902,2386100,0,0,AMZN,Amazon
10/20/21,3452.659912,3462.860107,3400.370117,3415.060059,2139800,0,0,AMZN,Amazon
10/21/21,3414.25,3440.280029,3403,3435.01001,1881400,0,0,AMZN,Amazon
10/22/21,3421,3429.840088,3331.300049,3335.550049,3139100,0,0,AMZN,Amazon
10/23/21,3421,3429.840088,3331.300049,3335.550049,3139100,0,0,AMZN,Amazon
10/24/21,3421,3429.840088,3331.300049,3335.550049,3139100,0,0,AMZN,Amazon
10/25/21,3335,3347.800049,3297.699951,3320.370117,2226000,0,0,AMZN,Amazon
10/26/21,3349.51001,3416.120117,3343.97998,3376.070068,2698300,0,0,AMZN,Amazon
10/27/21,3388,3437,3371.449951,3392.48999,2702200,0,0,AMZN,Amazon
10/28/21,3402.100098,3479,3386,3446.570068,5708700,0,0,AMZN,Amazon
10/29/21,3300.02002,3374.820068,3273.320068,3372.429932,6469500,0,0,AMZN,Amazon
10/30/21,3300.02002,3374.820068,3273.320068,3372.429932,6469500,0,0,AMZN,Amazon
10/31/21,3300.02002,3374.820068,3273.320068,3372.429932,6469500,0,0,AMZN,Amazon
11/1/21,3361.800049,3375.860107,3292.02002,3318.110107,3603700,0,0,AMZN,Amazon
10/18/21,303.5700073,308.2099915,302.6900024,307.2900085,22729300,0,0,MSFT,Microsoft
10/19/21,308.3500061,309.2999878,307.2200012,308.230011,17682100,0,0,MSFT,Microsoft
10/20/21,309.2099915,309.7000122,306.1099854,307.4100037,16537100,0,0,MSFT,Microsoft
10/21/21,307.1700134,311.019989,306.3599854,310.7600098,16918100,0,0,MSFT,Microsoft
10/22/21,310.3999939,311.0899963,307.7999878,309.1600037,17449300,0,0,MSFT,Microsoft
10/23/21,310.3999939,311.0899963,307.7999878,309.1600037,17449300,0,0,MSFT,Microsoft
10/24/21,310.3999939,311.0899963,307.7999878,309.1600037,17449300,0,0,MSFT,Microsoft
10/25/21,309.3599854,309.3999939,306.4599915,308.1300049,17554500,0,0,MSFT,Microsoft
10/26/21,311,312.3999939,308.6000061,310.1099854,28107300,0,0,MSFT,Microsoft
10/27/21,316,326.1000061,316,323.1700134,52588700,0,0,MSFT,Microsoft
10/28/21,324.3299866,324.8699951,321.3599854,324.3500061,26297900,0,0,MSFT,Microsoft
10/29/21,324.1300049,332,323.8999939,331.6199951,34744900,0,0,MSFT,Microsoft
10/30/21,324.1300049,332,323.8999939,331.6199951,34744900,0,0,MSFT,Microsoft
10/31/21,324.1300049,332,323.8999939,331.6199951,34744900,0,0,MSFT,Microsoft
11/1/21,331.3599854,331.4899902,326.3699951,329.3699951,27046000,0,0,MSFT,Microsoft
